TRIP_ID,PREDICTED_DURATION
T1,1267.609375
T2,506.796875
T3,667.046875
T4,1340.421875
T5,307.296875
T6,1897.671875
T7,1084.171875
T8,1122.421875
T9,878.171875
T10,781.546875
T11,1453.046875
T12,687.421875
T13,561.359375
T14,1292.046875
T15,586.796875
T16,987.171875
T17,406.421875
T18,751.296875
T19,605.609375
T20,1603.046875
T21,949.921875
T22,1296.046875
T23,504.671875
T24,1020.546875
T25,356.296875
T26,534.171875
T27,466.546875
T28,585.109375
T29,715.796875
T30,816.796875
T31,867.171875
T32,518.171875
T33,583.546875
T35,502.921875
T36,962.171875
T37,965.171875
T38,352.296875
T39,1367.921875
T40,1529.296875
T41,735.921875
T42,1239.984375
T43,489.171875
T44,584.421875
T45,392.671875
T46,851.421875
T47,355.671875
T48,504.921875
T49,797.296875
T50,534.796875
T52,1002.046875
T53,406.046875
T54,642.734375
T55,751.046875
T56,280.671875
T57,579.171875
T58,566.546875
T59,1184.546875
T60,726.421875
T61,618.796875
T62,890.671875
T63,643.296875
T64,806.171875
T65,897.921875
T66,583.921875
T67,711.171875
T68,609.671875
T69,848.421875
T71,5106.046875
T72,2024.171875
T73,581.671875
T74,745.421875
T75,652.921875
T76,896.296875
T77,229.796875
T78,1009.171875
T79,620.546875
T80,1814.921875
T81,576.296875
T82,625.546875
T83,728.296875
T84,1361.546875
T85,394.796875
T86,531.421875
T87,604.546875
T88,678.796875
T90,388.421875
T91,494.046875
T92,1129.546875
T93,530.296875
T94,413.796875
T96,1408.546875
T98,1424.546875
T99,-478.953125
T100,798.171875
T101,444.546875
T102,435.546875
T103,1103.046875
T104,891.046875
T107,112.171875
T109,-302.953125
T110,336.546875
T111,764.796875
T112,276.046875
T113,1265.171875
T114,832.296875
T115,648.546875
T116,263.796875
T117,220.546875
T118,536.421875
T119,679.046875
T120,436.421875
T121,473.796875
T122,1030.046875
T123,1019.296875
T124,614.796875
T125,668.546875
T126,615.546875
T128,243.296875
T129,459.296875
T130,796.046875
T131,-2795.203125
T132,1014.796875
T133,480.171875
T134,779.171875
T135,220.796875
T136,243.921875
T137,420.296875
T138,2560.796875
T139,772.921875
T140,852.296875
T141,1676.296875
T142,440.296875
T143,633.546875
T144,595.546875
T145,612.546875
T146,1110.671875
T147,432.421875
T148,1064.546875
T149,1164.546875
T151,451.296875
T152,679.671875
T153,726.546875
T154,485.296875
T155,758.046875
T156,644.796875
T157,1774.546875
T158,843.796875
T159,1036.296875
T160,934.296875
T161,770.046875
T162,867.046875
T163,1086.546875
T164,264.296875
T166,544.296875
T167,615.046875
T168,699.546875
T169,1126.046875
T170,577.296875
T171,1108.796875
T172,1206.796875
T173,655.796875
T174,1690.796875
T175,770.546875
T176,464.796875
T177,702.296875
T178,1136.796875
T179,738.296875
T180,827.546875
T182,212.796875
T183,619.046875
T184,782.796875
T185,1082.046875
T186,1047.546875
T187,629.546875
T188,586.546875
T189,322.296875
T190,409.796875
T191,605.796875
T192,699.546875
T193,195.546875
T194,922.046875
T195,957.296875
T196,699.296875
T197,1443.546875
T198,890.796875
T199,1117.796875
T200,1428.546875
T201,416.296875
T202,1032.046875
T203,575.796875
T204,569.046875
T205,806.046875
T206,1759.796875
T207,732.046875
T208,2054.296875
T209,260.796875
T210,918.046875
T211,893.046875
T212,699.296875
T213,423.046875
T214,716.296875
T215,581.546875
T216,1121.046875
T217,1129.296875
T218,1703.546875
T219,514.046875
T220,1615.296875
T221,348.046875
T222,716.796875
T223,1548.296875
T224,2033.046875
T225,958.296875
T226,705.296875
T227,492.796875
T228,1586.296875
T229,1221.296875
T230,1597.546875
T231,739.296875
T232,839.296875
T233,356.296875
T234,697.296875
T235,904.796875
T236,118.421875
T237,383.046875
T238,699.421875
T239,502.796875
T240,614.296875
T241,766.421875
T242,282.421875
T243,412.796875
T244,847.609375
T245,574.296875
T246,659.984375
T248,357.546875
T249,272.796875
T250,449.796875
T251,478.796875
T252,334.296875
T253,703.046875
T254,247.796875
T255,816.421875
T256,883.671875
T257,523.546875
T258,535.671875
T259,387.546875
T260,801.296875
T261,1091.796875
T262,370.796875
T263,279.171875
T264,716.671875
T265,563.984375
T266,246.421875
T267,443.671875
T268,337.421875
T269,489.171875
T270,465.296875
T271,1140.921875
T272,1701.796875
T273,338.421875
T274,-142.203125
T275,10.796875
T276,591.796875
T277,1503.671875
T278,108.796875
T279,226.671875
T280,501.046875
T281,201.046875
T282,1089.921875
T283,416.171875
T284,133.671875
T285,478.171875
T286,571.171875
T287,686.546875
T288,311.671875
T289,542.546875
T290,811.421875
T291,132.296875
T292,365.671875
T293,511.046875
T294,525.921875
T295,851.546875
T296,346.546875
T297,180.796875
T298,407.421875
T299,607.796875
T300,875.171875
T301,1151.921875
T302,895.546875
T303,525.046875
T304,1275.296875
T305,192.546875
T306,327.296875
T307,952.671875
T308,660.796875
T309,1158.796875
T310,944.296875
T311,658.796875
T312,517.171875
T313,663.171875
T314,399.546875
T315,392.296875
T316,497.921875
T317,629.921875
T318,889.171875
T319,803.171875
T320,659.171875
T321,1242.296875
T322,656.296875
T323,921.171875
T324,1237.171875
T325,371.421875
T326,511.421875
T327,1268.546875
